id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price
a19671061,Beautiful Williamsburg Loft 1/2 Block from Subway!,45673606,Susan,Brooklyn,Williamsburg,40.71494,-73.94675,Private room,30,9,2017-10-07,0.13,1,0,0,,85
a568850097698260857,Lovely Prime East Village Apartment with Elevator,196059058,Emon,Manhattan,East Village,40.72484,-73.98504,Entire home/apt,30,8,2023-01-10,0.68,2,93,8,,160
a605164221007634197,Gem. Williamsburg 2 bedroom 5 min to NYC.,376426580,Dmitri,Brooklyn,Williamsburg,40.70812,-73.95491,Entire home/apt,1,46,2023-02-19,4.51,5,263,46,,120
a33928971,Large 1BR apt. in luxury West Village building.,158709729,Michael,Manhattan,West Village,40.73244,-74.00415,Entire home/apt,30,18,2020-03-05,0.39,1,0,0,,450
a35601251,"Cozy bedroom  # 2 
in fast-paced central Brooklyn",163625145,Steven,Brooklyn,Borough Park,40.6441,-73.98932,Private room,30,13,2020-02-08,0.3,3,70,0,,38
a18989137,Boerum Hill Beauty,132464510,Christine,Brooklyn,Boerum Hill,40.68446,-73.98404,Private room,1,9,2023-02-15,0.13,1,299,1,,121
a20521092,Bushwick Reading Room,5190439,Armando,Brooklyn,Bushwick,40.70138,-73.9236,Private room,30,9,2017-10-01,0.13,1,0,0,,50
a39090973,Crisocolla,299394723,Belle,Queens,Jackson Heights,40.75272,-73.88327,Private room,30,7,2020-01-05,0.17,1,0,0,,48
a20483469,Large Room at a Three min Walk !,146219213,Keyur,Queens,Forest Hills,40.71695,-73.8337,Private room,30,17,2018-04-01,0.26,1,0,0,,40
a543646731581143482,"Simple, Clean, Quiet 3 Bed 2 Bath East Harlem",395965505,Larry,Manhattan,East Harlem,40.79886,-73.94103,Entire home/apt,1,50,2023-02-13,3.66,4,16,44,,150
a41480537,Sunny 3bd East Village Home❤️,273057459,Lutfu,Manhattan,East Village,40.7225,-73.97953,Entire home/apt,30,9,2020-03-07,0.24,1,0,0,,299
a33644836,"Priv room in an immaculate Apt,near Cent Park, UWS",76628403,Matt,Manhattan,Upper West Side,40.77773,-73.97792,Private room,5,23,2022-07-16,0.49,1,34,5,,135
a31834190,Cozy Studio in Queens,18957069,Natalia,Queens,Woodside,40.74858,-73.89857,Entire home/apt,1,154,2023-02-03,4.06,1,35,74,,120
a13170159,Brooklyn Brand New Studio,62535444,Alex,Brooklyn,Brighton Beach,40.58019,-73.9542,Entire home/apt,30,56,2022-05-31,0.69,2,342,1,,69
a34710643,Queen Suite with Private Bath (Cat Lovers Only),8207362,Karina,Brooklyn,Bedford-Stuyvesant,40.68937,-73.93714,Private room,3,9,2022-08-21,0.19,2,283,1,,70
a766640621300950506,Max Living-The Bklyn Way,488875309,Asia,Brooklyn,Bedford-Stuyvesant,40.6806381,-73.9392341,Private room,2,6,2023-02-21,1.98,1,36,6,,91
a40824219,Room close to  Manhattan for FEMALE guests,317540555,Sevil,Queens,Sunnyside,40.74698,-73.91763,Private room,5,12,2023-01-04,0.31,3,0,7,,55
a54144941,*NEW* Private Room near Prospect Park Brooklyn,429454632,Carol,Brooklyn,Prospect-Lefferts Gardens,40.66066,-73.94105,Private room,1,23,2023-01-29,1.64,20,39,19,,58
a544884873941624503,BROOKLYN FLOW!,267223765,Jarmel,Brooklyn,Flatbush,40.64904,-73.96102,Private room,2,20,2023-01-03,1.69,1,321,20,,54
a26225021,Cozy room/creative space in modern bed stuy home.,156255637,Titi,Brooklyn,Bedford-Stuyvesant,40.68866,-73.94845,Private room,30,49,2020-01-02,0.89,2,0,0,,80
a564272940527982375,Spacious room great location New York!,443680128,Haniel,Manhattan,Harlem,40.81464,-73.94401,Private room,3,48,2023-02-27,3.93,3,58,48,,57
a27409329,Most beautiful bedroom in Harlem,203982404,Armande,Manhattan,East Harlem,40.80722,-73.93871,Private room,30,64,2022-05-24,1.15,6,180,1,,70
a658593619913286406,Shoreham Hotel - Touchless Chic Room,423873487,Shoreham,Manhattan,Midtown,40.76132,-73.97716,Entire home/apt,1,19,2022-12-18,2.26,44,0,19,,196
a581276193109315899,"The Tulum Experience JFK, LGA, Casino, UBS Arena",144688687,Anthony,Queens,Springfield Gardens,40.66668,-73.76378,Entire home/apt,1,11,2022-12-31,1.02,9,364,11,,205
a10268868,Big room at 15min from Times Square,22543733,Leo,Queens,Sunnyside,40.74512,-73.92329,Private room,30,5,2017-04-23,0.06,1,0,0,,60
a23521858,Big Room in Beautiful Brooklyn Heights!,51282128,Jenny,Brooklyn,Boerum Hill,40.68916,-73.99184,Private room,5,5,2020-01-01,0.08,1,0,0,,50
a1956467,"Big, beautiful, central 1BD in Brooklyn",1500550,Shira,Brooklyn,Prospect Heights,40.67308,-73.96487,Entire home/apt,30,5,2017-12-30,0.04,1,0,0,,55
a17269342,Large one-bedroom in of Manhattan mid-town west,114890218,Marc,Manhattan,Hell's Kitchen,40.76328,-73.99295,Entire home/apt,7,33,2020-03-11,0.45,1,0,0,,190
a19273509,Astoria 2 bedroom private and fully equipped home,4969033,Bella,Queens,Astoria,40.76633,-73.90888,Entire home/apt,5,61,2022-09-27,0.89,1,108,20,,175
a27637065,"Airy, modern apartment in a Brooklyn Brownstone",13462855,Travis,Brooklyn,Bedford-Stuyvesant,40.67992,-73.93789,Entire home/apt,5,162,2023-02-19,2.95,5,252,44,,253
a684991,Terrific NY Studio in Midtown East,3491890,George Steven,Manhattan,Murray Hill,40.74793,-73.97887,Entire home/apt,30,18,2023-03-05,0.14,8,167,5,,145
a52577131,Hermoso apartamento en Brooklyn cerca del tren,179413160,Maria Fernanda,Brooklyn,Cypress Hills,40.68024875295275,-73.88407990336418,Private room,1,7,2022-12-12,1.68,1,34,7,,50
a4963237,Dominique's 2BR LL cosy CrashPad*6 Mins from Metro,310670,Vie,Bronx,Eastchester,40.87893,-73.83413,Entire home/apt,2,33,2023-01-09,0.4,7,343,10,,146
a37629191,Welcome to my Home in Pretty Central Park Area,284298771,Cori,Manhattan,Upper West Side,40.77692,-73.98042,Entire home/apt,30,11,2020-03-15,0.25,1,0,0,,315
a631670800654167357,(Summer )Simple and clean single room,77063818,Angela,Brooklyn,Bay Ridge,40.63451,-74.0174,Private room,1,23,2023-02-27,2.43,8,71,23,,66
a18080436,★cozy apartment ★,55981584,Saori,Brooklyn,Bay Ridge,40.63583,-74.02111,Private room,30,11,2020-03-01,0.15,1,0,0,,35
a50011852,Lovely 2-bedroom rental unit in Queens,206529596,Erica,Queens,Jamaica,40.68217,-73.80055,Entire home/apt,2,32,2023-02-22,1.76,1,67,20,,115
a48166288,240Nest #3,71852500,Olivia,Manhattan,Kips Bay,40.74072,-73.97983,Entire home/apt,29,11,2022-11-30,0.51,3,92,6,,110
a51987334,The Shoppers Haven at Kings Plaza Shopping Mall FP,417850661,Mark,Brooklyn,Mill Basin,40.60997,-73.92248,Entire home/apt,3,26,2022-12-25,1.46,2,354,17,,148
a5168749,LIC Super Sunny & Spacious 1BR Apt,10433019,Serene,Queens,Long Island City,40.74425,-73.94953,Entire home/apt,30,17,2022-12-31,0.18,1,187,4,,153
a47353265,Entire 2 Bedroom Apt in Pre-War Building- Brooklyn,2120259,Sue,Brooklyn,Crown Heights,40.66676,-73.94955,Entire home/apt,3,10,2023-02-20,0.39,1,142,2,,118
a39672049,Charming  Two Bedroom Suite,300577516,Libia,Staten Island,Clifton,40.6209,-74.07516,Private room,4,15,2022-12-30,0.39,1,301,5,,80
a42880564,Sunlit private bedroom and bathroom penthouse,278985545,Amy And Yasha,Brooklyn,Bedford-Stuyvesant,40.6842,-73.92997,Private room,30,9,2023-01-01,0.25,4,180,8,,60
a669583197342625671,Luxury Penthouse Walking Distance To Time Square,131092784,Warren,Manhattan,Hell's Kitchen,40.76245,-73.9996,Entire home/apt,7,6,2023-01-06,1.2,1,0,6,,838
a550048501576829484,Lovely One Bedroom in Clinton Hill Brooklyn,53642216,Ten,Brooklyn,Clinton Hill,40.68213,-73.96205,Entire home/apt,4,27,2023-02-19,2.29,1,9,27,,110
a50599418,Home away from home in great neighborhood.,408827396,Debra,Brooklyn,Greenpoint,40.73371,-73.95213,Entire home/apt,1,68,2023-01-29,3.45,1,41,38,,152
a29230227,Sun-Filled Apartment in Trendy Bed-Stuy!,1735342,Jessica,Brooklyn,Bedford-Stuyvesant,40.682545,-73.945061,Entire home/apt,30,14,2023-01-02,0.26,1,122,12,,225
a39291981,Modern Brooklyn Brownstone Garden Apt. w/ Garden!,301662283,Tiffany,Brooklyn,Fort Greene,40.68432,-73.97116,Entire home/apt,30,9,2020-03-05,0.22,1,0,0,,200
a250323,SPACIOUS PRIVATE LITTLE ITALY FLAT,1311870,Christy,Manhattan,Chinatown,40.71643,-73.99931,Entire home/apt,30,49,2014-12-03,0.38,1,0,0,,122
a53573536,Spacious 3 Bedroom in Brooklyn-1 King Bed+2 Queens,191735386,Nicole,Brooklyn,Crown Heights,40.67509,-73.91403,Entire home/apt,1,35,2023-02-19,2.74,1,280,34,,181
a5217507,Great 1-bd apartment in Murray Hill,3510638,Eugene,Manhattan,Murray Hill,40.74625,-73.97505,Entire home/apt,5,13,2018-05-20,0.13,1,0,0,,75
a8741489,Awesome Private Artist Studio for FEMALE Traveler,45857976,Joie,Manhattan,Harlem,40.81898,-73.94304,Entire home/apt,30,25,2019-07-17,0.28,3,83,0,,95
a28940025,City Island studio apartment retreat,2780938,Molly,Bronx,City Island,40.84825,-73.79012,Entire home/apt,3,60,2022-11-17,1.12,1,335,10,,96
a41399557,Quiet Sunny Room  Upper East Side,4500999,Aaron,Manhattan,East Harlem,40.7956,-73.945,Private room,30,17,2023-01-30,0.97,2,95,13,,110
a17879131,Amazing Space For Your Chelsea Stay,122419373,Pablo,Manhattan,Chelsea,40.7433,-74.00129,Private room,2,273,2023-02-17,3.79,1,105,49,,390
a52812402,💜 NYC/Bushwick New Private Room Size Full 💜,81359949,Skarly & Ming,Brooklyn,Bushwick,40.69899,-73.93097,Private room,2,42,2023-02-13,2.5,3,44,33,,50
a19970764,"BRAND NEW MODERN 2BR 1BA,HEART OF LOWER EAST SIDE!",22129776,Ali,Manhattan,Lower East Side,40.72194,-73.98838,Entire home/apt,3,47,2023-01-17,0.95,7,350,7,,268
a3874702,A garden apartment in a brownstone.,16765013,Marek,Brooklyn,Clinton Hill,40.68432,-73.96469,Entire home/apt,4,59,2019-09-07,0.57,1,74,0,,160
a7734176,Spacious two bedroom in NYC,40645778,Angela,Manhattan,Theater District,40.76262,-73.98555,Entire home/apt,30,14,2021-07-11,0.15,1,0,0,,300
a50327420,Canopy Room w/Private Bath in Vintage Loft,4888892,Darina,Brooklyn,Bushwick,40.70219,-73.92009,Private room,30,28,2023-01-01,1.36,6,339,20,,70
a1645772,"Private Entrance/Bath, 2 story Apt.",8026393,Ruth,Manhattan,Upper East Side,40.77306,-73.95068,Private room,3,173,2023-01-02,1.5,1,97,17,,150
a638965000463155963,Modern Private Room in Long Island City,461852348,Ivann,Queens,Long Island City,40.74768482711784,-73.92406812676047,Private room,3,29,2023-01-02,3.41,1,362,29,,95
a9560398,Spring in Stylish Studio in New York City!,40605120,(Ari) HENRY LEE,Manhattan,East Harlem,40.78866,-73.94783,Entire home/apt,30,21,2022-10-02,0.25,1,79,2,,155
a27133412,Private Room in Williamsburg Apartment,36444228,Selika,Brooklyn,Williamsburg,40.71661,-73.94292,Private room,21,6,2023-01-15,0.11,1,2,2,,80
a747751933904068634,Mott Haven Dorm 7,484932415,Liz,Bronx,Port Morris,40.80933,-73.93064,Shared room,1,7,2023-02-11,1.81,13,337,7,,26
a698094,5th Ave Apartment in Midtown!,3569392,Kristen,Manhattan,Midtown,40.76221,-73.97787,Private room,30,31,2016-08-26,0.24,1,0,0,,120
a50056629,"Home away from home 3. 
private Loft.",273971514,Bright,Staten Island,St. George,40.64374,-74.08358,Entire home/apt,2,10,2023-01-22,1.96,3,290,10,,125
a287397,Bed Stuy Pride! Welcome to Brooklyn,1029021,Jameelah,Brooklyn,Bedford-Stuyvesant,40.69049,-73.93212,Entire home/apt,30,52,2022-12-13,0.38,2,164,7,,75
a28162058,Garden Loft Manhattan Apartment,4562182,Florence,Manhattan,Harlem,40.81175,-73.94555,Entire home/apt,30,32,2022-05-17,0.59,2,339,2,,251
a42729,House On Henry (Carroll Gardens Living) Ste 2,11481,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,Entire home/apt,4,200,2023-01-04,1.32,3,331,22,,202
a576650068700400424,St Regis Studio,28656622,Elisa,Manhattan,Midtown,40.761616,-73.974335,Private room,1,5,2022-12-18,0.52,4,363,5,,1057
a703818917730928668,Private big room (Cherry) in Queens,476353211,Andy,Queens,Elmhurst,40.74288,-73.86887,Private room,2,7,2022-11-27,1.29,6,267,7,,65
a592858838022271146,"Spacious Brooklyn, NY Apartment",240907115,Joel,Brooklyn,Bushwick,40.687252,-73.914734,Entire home/apt,3,39,2023-02-25,3.69,4,103,39,,251
a687769558578271951,Lovely Spacious Bedroom in Upper East Side,391726093,Belisa,Manhattan,Upper East Side,40.7774,-73.95993,Private room,1,34,2023-02-26,5.0,6,8,34,,96
a39526252,Beautiful Apartment with Private Patio,42676520,Andrew,Manhattan,Harlem,40.80679,-73.94817,Entire home/apt,30,24,2023-01-21,0.59,3,124,5,,103
a46091331,GIANT Brooklyn loft for true NY experience,4307922,Brian,Brooklyn,Clinton Hill,40.68384,-73.96643,Entire home/apt,2,13,2022-07-17,0.69,1,0,4,,175
a28489062,Cozy 2 Bedroom by the Park !,20104851,Scott,Brooklyn,Park Slope,40.66588,-73.97945,Entire home/apt,30,96,2022-12-11,1.85,1,35,24,,169
a14351733,Private Room beside the 7 Train!,46015557,Megan,Queens,Sunnyside,40.74634,-73.91327,Private room,30,15,2018-08-27,0.19,1,0,0,,60
a667996491911316200,Beautiful spacious studio apartment in Queens,19688038,Renee,Queens,Jackson Heights,40.75414,-73.88246,Entire home/apt,1,17,2023-02-19,2.98,1,1,17,,101
a559526906537119383,YARDEN - LUXURY apt - WITH BACKYARD,170964868,Leo,Brooklyn,Bedford-Stuyvesant,40.67997,-73.90907,Entire home/apt,5,28,2023-02-21,2.17,7,180,24,,132
a53021262,Room 1 - Private small bedroom in shared apartment,42585587,Lincie,Queens,Elmhurst,40.74776,-73.86869,Private room,4,34,2023-02-21,2.12,4,76,27,,47
a695751998576328121,Lovely 1-bedroom with patio 5 minutes from M train,17602501,Miguel,Queens,Ridgewood,40.71033,-73.89514,Private room,1,10,2022-12-04,1.55,2,365,10,,150
a655811,3 bedroom Penthouse in heart of LES-HUGE terrace,3512478,Winkel,Manhattan,Chinatown,40.71542,-73.99077,Entire home/apt,2,23,2023-02-19,0.19,1,167,13,,622
a40893251,Private safe& CLEAN! Fantastic Close to all.,316886271,Julie,Brooklyn,Bushwick,40.69499,-73.92823,Entire home/apt,30,9,2020-03-08,0.23,1,0,0,,259
a13397316,Lovely Gem in Hell's Kitchen Midtown Manhattan,54454582,Carla,Manhattan,Hell's Kitchen,40.76474,-73.9927,Entire home/apt,5,113,2023-02-26,2.56,1,128,51,,239
a51522141,Study zone near Columbia •••,172851546,Tyler,Manhattan,Upper West Side,40.798267,-73.964378,Private room,1,28,2023-02-26,1.49,3,242,21,,164
a25677480,Comfy 6ft. couch in living room,9726872,Natalie,Manhattan,Upper East Side,40.76743,-73.95328,Shared room,30,7,2018-12-09,0.12,1,0,0,,70
a21837063,Sunny Escape in Victorian Beverley Square West,122045009,Jeff,Brooklyn,Flatbush,40.64385,-73.9693,Private room,30,95,2020-06-21,1.51,1,83,0,,108
a19787245,CHIC & BRIGHT APT ON UES CLOSE TO CENTRAL PARK,9293730,Inna,Manhattan,Upper East Side,40.77016,-73.95716,Entire home/apt,30,27,2023-02-05,0.41,38,296,4,,99
a55959,Work From Our Home w/ Loft,168525,Gus,Brooklyn,Williamsburg,40.71065,-73.95087,Private room,5,98,2023-01-29,0.84,2,16,5,,129
a612132833235907823,"TIMES SQUARE - NYC, COZY STUDIO Hells Kitchen",134114121,Jay,Manhattan,Hell's Kitchen,40.75998,-73.99024,Entire home/apt,3,32,2023-02-25,3.56,1,164,32,,301
a18942038,Lovely studio in Bushwick,12155032,Clemence,Brooklyn,Bushwick,40.69614,-73.91173,Entire home/apt,3,91,2023-01-02,1.37,1,174,30,,103
a592679984594951626,Spacious 2BR in Queens NYC  Easy Access to JFK/LGA,152599955,Lordan,Queens,Richmond Hill,40.69394,-73.83453,Entire home/apt,1,33,2023-02-05,2.94,2,242,33,,120
a48939444,"🍎 2 bed 1 bath & backyard, 2 stops to Manhattan.",230705060,Runa & Tusher,Queens,Long Island City,40.75882,-73.94195,Entire home/apt,2,48,2022-12-25,2.07,5,271,21,,252
a29202087,Modern WBurg Castle in w/ Park & Skyline Views,8917825,Jordan,Brooklyn,Greenpoint,40.71905,-73.95272,Entire home/apt,30,11,2019-02-01,0.21,1,0,0,,205
a7473810,Light-filled urban cabin,39143718,Sean,Brooklyn,Bedford-Stuyvesant,40.68171,-73.95705,Entire home/apt,30,9,2019-01-02,0.1,2,0,0,,400
a993575,1 BR Large Luxury Furnished Apartment UWS,15145088,Izi,Manhattan,Upper West Side,40.78687,-73.9746,Entire home/apt,30,24,2022-08-31,0.22,8,365,3,,154
a39749929,Artist's Studio on Iconic St. Mark's Place,5190491,Anna + Michael,Manhattan,East Village,40.72973,-73.9884,Entire home/apt,2,168,2023-02-04,4.21,1,238,50,,237
a51121143,"3 Bdrms 5 bds, 2 baths Ocean at Arverne By The Sea",340186155,Tatyana,Queens,Arverne,40.58786,-73.793732,Entire home/apt,3,16,2022-12-30,0.91,1,82,11,,305
a5494750,"Home For Medical Professionals - ""Lunula""",26377263,Stat,Brooklyn,East Flatbush,40.65875,-73.93451,Private room,6,7,2023-01-21,0.15,57,185,5,,48
a17840284,Great Washington Heights Private Bedroom in a 4 BR,122028274,Markus,Manhattan,Washington Heights,40.84507,-73.93937,Private room,5,7,2019-09-14,0.1,1,0,0,,68
a582817278861712149,Modern 2 bedroom Apt close to Manhattan Diamond,87639559,Jemar Ira,Queens,Briarwood,40.70784,-73.80341,Entire home/apt,2,7,2023-02-14,0.65,17,340,7,,130
a750858995013145744,Modern Lights Stay,475628873,Elelia,Brooklyn,Crown Heights,40.67652,-73.95068,Entire home/apt,4,6,2023-01-04,1.49,3,60,6,,131
a5079124,Clean & Cozy Private Room,12603113,Linda,Brooklyn,Kensington,40.63957,-73.97163,Private room,30,48,2022-11-30,0.51,1,364,4,,50
a980561,"Beautiful, private, uptown studio",15742,Alix,Manhattan,Harlem,40.82825,-73.94789,Entire home/apt,30,40,2023-02-01,0.33,1,63,3,,86
a5340262,纽约之家(Sunnyhome7),27673980,Amy,Queens,Flushing,40.74537,-73.83252,Private room,1,299,2023-02-06,3.08,8,78,25,,60
a4871966,Williamsburg Brooklyn Apartment,3896287,Andrew And Clara,Brooklyn,Williamsburg,40.71396,-73.94021,Entire home/apt,30,9,2016-07-18,0.09,1,0,0,,225
a589108720950913148,Large and bright room 15 min away from Manhattan,153524812,James,Queens,Astoria,40.76826,-73.92392,Private room,1,45,2023-02-18,4.26,4,353,45,,55
a50707891,Cozy Room with in trendy Bed-Stuy Brooklyn,546370,Katya,Brooklyn,Bedford-Stuyvesant,40.688014,-73.9429521,Private room,30,5,2023-02-13,0.27,25,287,3,,45
a170761,"Fort Greene, Brooklyn: Front Bedroom",67778,Doug,Brooklyn,Fort Greene,40.68876,-73.97758,Private room,2,136,2023-02-26,1.26,3,141,57,,85
a703042215695143030,Amazing Room,476583892,Gus,Brooklyn,Bushwick,40.69013,-73.91076,Private room,1,24,2023-02-18,4.02,6,365,24,,76
a630501366273607717,Spacious 3 bedroom 2.5 bath house with. Basement,68934594,Chelsea,Queens,Rego Park,40.71736,-73.8597,Entire home/apt,2,10,2023-01-01,1.04,2,57,10,,245
a900383,Brooklyn-Bedstuy-Studio,4808242,Selam,Brooklyn,Bedford-Stuyvesant,40.68229,-73.95347,Shared room,30,29,2020-01-04,0.24,1,180,0,,100
a769516911099984194,Super cozy RV near of everything,389147430,Mirka,Queens,Ditmars Steinway,40.77470835735837,-73.8968192761963,Entire home/apt,1,6,2023-02-24,2.2,1,365,6,,81
a30565063,Private Bedroom on Newly Renovated Apartment,61560050,Bárbara,Brooklyn,Bushwick,40.70399,-73.91296,Private room,30,6,2020-03-08,0.12,1,0,0,,60
a3272721,Beautiful Penthouse Apt - Brooklyn,4080758,Arun,Brooklyn,Crown Heights,40.67907,-73.96367,Entire home/apt,30,5,2016-01-05,0.05,1,0,0,,125
a18266415,Red Hook Duplex + Yard - Sunny Quiet Cozy,16639428,Drew,Brooklyn,Red Hook,40.67542,-74.01139,Entire home/apt,2,27,2022-05-03,0.39,1,0,4,,251
a737908985226015948,Cozy bedroom 2 min from subway in Brooklyn loft.,9171271,Bruna,Brooklyn,Bedford-Stuyvesant,40.69961,-73.94098,Private room,3,11,2023-02-26,3.44,1,189,11,,75
a49729986,"Bright BedStuy Apt w/Office by Von King Park,",38179415,Brandon,Brooklyn,Bedford-Stuyvesant,40.69173,-73.93802,Entire home/apt,3,6,2022-10-27,0.28,1,179,3,,150
a46056385,Private Room for rent,190915917,Demetrio,Bronx,Fieldston,40.8945,-73.8987,Private room,1,15,2023-02-26,1.45,3,296,15,,75
a13378177,Art-filled Mid-Century Modern Apartment,3686511,Kris,Brooklyn,Prospect-Lefferts Gardens,40.66166,-73.94956,Entire home/apt,3,39,2023-01-03,0.52,1,66,8,,114
a41234256,PRIVATE BASEMENT APT - BROOKLYN,323658450,Grace,Brooklyn,East Flatbush,40.65373,-73.93606,Entire home/apt,2,11,2022-04-18,0.3,1,364,1,,85
a50310472,Lovely Shared Apartment in Midtown Manhattan NYC,40939327,Kieran,Manhattan,Hell's Kitchen,40.76498,-73.99055,Private room,2,15,2023-01-01,2.43,1,315,15,,220
a645075,"Hell's Kitchen, Midtown west!",2494666,Brian,Manhattan,Hell's Kitchen,40.76242,-73.99217,Private room,2,369,2023-01-28,2.89,1,76,46,,129
a48831918,Cozy and Clean Brooklyn Apartment,393527994,Cliff,Brooklyn,Brownsville,40.66548,-73.91365,Entire home/apt,3,101,2023-01-31,4.55,1,86,49,,112
a572509420403746949,Spacious and Chic 2 BR Condo in Manhattan,206778021,Vanessa,Manhattan,Harlem,40.82413,-73.95414,Entire home/apt,30,10,2023-02-26,0.92,9,97,10,,299
a38539813,Bright and Modern Space | One Block from Subway,126077082,Wesley,Brooklyn,Bedford-Stuyvesant,40.68086,-73.92826,Private room,30,11,2019-12-26,0.26,1,0,0,,43
a41974087,Luxury Sanitized Duplex in Prime Brooklyn Area,255476834,Tiffany,Brooklyn,Brownsville,40.67559,-73.90799,Entire home/apt,2,13,2023-01-06,1.1,1,321,13,,425
a52842279,"Stoner💨Gamer🎮 
Pad (420 friendly 👍)room#3",61558856,James,Queens,Woodhaven,40.69124,-73.85937,Private room,1,20,2022-09-19,1.19,3,5,3,,40
a30156697,"LONG TERM RENTAL,STUDIO N 7 IN THE VILLAGE",27636707,Gaia&Pietro,Manhattan,West Village,40.73275,-74.00549,Entire home/apt,30,49,2023-01-20,1.01,7,168,6,,121
a8525172,Shared Studio (NO PRIVACY) On The Upper East Side,44887928,Brianna,Manhattan,Upper East Side,40.78457,-73.95188,Shared room,30,124,2020-01-02,1.37,1,65,0,,62
a30361847,"One bedroom apartment in Brooklyn, NY",40480205,Owen,Brooklyn,Park Slope,40.68245,-73.97713,Entire home/apt,60,13,2022-08-03,0.28,1,155,3,,120
a25492295,"Style, Comfort & Convenience in NYC getaway",8067740,C.,Manhattan,Harlem,40.8041,-73.95428,Entire home/apt,30,53,2020-03-03,0.99,1,0,0,,219
a725971713008385822,Contemporary Furnished Studio,181490923,Kristina,Manhattan,Flatiron District,40.74296,-73.9873,Entire home/apt,2,9,2023-02-05,1.85,53,352,9,,96
a13070577,"It's ""THAT DREAM HOUSE"" in Williamsburg",32525834,Lara,Brooklyn,Williamsburg,40.71812,-73.94226,Entire home/apt,3,22,2023-01-02,0.38,1,57,1,,325
a617276903379514004,"Large, clean and cozy 1 bedroom with yard.",456940606,Sharon,Brooklyn,Crown Heights,40.6695,-73.92934,Entire home/apt,4,20,2023-02-22,2.41,1,48,20,,126
a13100726,NYC living to it's fullest... in a good way!,1215853,Pascal,Manhattan,East Harlem,40.80758,-73.93892,Entire home/apt,1,45,2023-01-21,0.55,2,49,5,,135
a12090887,Private bedroom 5 mins to ColumbiaU,18370504,Emily,Manhattan,Morningside Heights,40.81508,-73.95985,Private room,30,5,2016-08-29,0.06,1,0,0,,65
a265145,Studio sublet in Hell's kitchen,1390947,Akiko,Manhattan,Theater District,40.76253,-73.98365,Entire home/apt,30,8,2015-01-08,0.06,1,0,0,,200
a46850986,Cozy 2 Bedrooms in Harlem close to Everything,376143855,Fati,Manhattan,East Harlem,40.7994,-73.94433,Entire home/apt,30,5,2022-04-25,0.27,1,177,1,,150
a736470084683998152,"Stunning, modern apartment with en suite bathroom.",483378389,Alexes,Bronx,Norwood,40.8751959,-73.8839208,Private room,1,7,2023-02-02,1.56,4,166,7,,55
a94209,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,503800,Peace,Brooklyn,Crown Heights,40.67654,-73.94629,Entire home/apt,1,44,2023-02-27,1.84,1,79,22,,100
a10034187,Unique Studio Loft in Brooklyn,47554473,Henry Norman,Brooklyn,Greenpoint,40.72889,-73.94397,Entire home/apt,3,50,2021-12-11,0.57,14,67,0,,213
a38817916,Modern Scandinavian Oasis in Tree-Lined Park Slope,11577427,Sarah,Brooklyn,Park Slope,40.67967,-73.97663,Entire home/apt,3,152,2023-02-19,3.67,1,280,54,,235
a665409290103351494,Lovely room in New York,467064305,Vania,Manhattan,Upper West Side,40.77705712628239,-73.9800463244319,Entire home/apt,1,8,2022-12-23,1.43,2,363,8,,211
a44049457,138 Bowery-Classic King Studio,51548122,Jeniffer,Manhattan,Lower East Side,40.71942,-73.99386,Entire home/apt,15,21,2023-01-07,1.0,48,54,12,,105
a24515198,Sunny bedroom in a designer apartment,185189643,Swann,Queens,Sunnyside,40.74524,-73.92005,Private room,5,171,2023-01-07,2.89,1,9,27,,84
a52411806,The Blue Velvet Underground.,263331130,Steve,Brooklyn,Bushwick,40.701,-73.91855,Private room,1,56,2023-01-27,3.4,6,81,48,,64
a45066000,Laxmi Budget Cozy Private Room (fights NYC Hunger),310205815,Annie & Lee,Manhattan,East Village,40.72361,-73.98693,Private room,1,113,2023-02-16,3.83,3,100,54,,77
a51231960,Beautiful 2br in Brooklyn w/ Scenic Balcony,362851420,Catiriana,Brooklyn,Bedford-Stuyvesant,40.69184,-73.93883,Entire home/apt,1,79,2023-01-02,4.04,1,14,49,,131
a15857334,5 Star Luxury Suite Heart of Manhattan,26556695,Justin And Alyssa,Manhattan,Midtown,40.76239,-73.97498,Private room,2,33,2022-11-07,0.44,6,364,10,,1499
a30786156,Brownstone Garden Apartment Brooklyn,105154396,Goenuel,Brooklyn,Bedford-Stuyvesant,40.68987,-73.95308,Entire home/apt,30,157,2023-02-27,3.06,1,172,46,,203
a684435229163676545,Murray Hill and Kips Bay! Amazing 1BR for 2!,391891939,Marvic Donfree,Manhattan,Kips Bay,40.74344,-73.9737,Entire home/apt,30,6,2023-02-11,1.42,3,347,6,,150
a43213162,"Charming Top Floor Apartment in BedStuy, Brooklyn",3261533,Lina,Brooklyn,Bedford-Stuyvesant,40.68013,-73.94734,Entire home/apt,30,7,2022-09-26,0.23,3,89,2,,105
a54179941,A Cabin in the City,155440053,Michael,Manhattan,Chelsea,40.74949,-73.99651,Private room,1,80,2022-10-22,5.7,8,317,63,,100
